name,email,face_image_url
Alice Johnson,alice.johnson@university.edu,https://example.com/faces/alice.jpg
Bob Williams,bob.williams@university.edu,https://example.com/faces/bob.jpg
Carol Davis,carol.davis@university.edu,https://example.com/faces/carol.jpg
Daniel Miller,daniel.miller@university.edu,https://example.com/faces/daniel.jpg
Eva Martinez,eva.martinez@university.edu,https://example.com/faces/eva.jpg
Frank Wilson,frank.wilson@university.edu,https://example.com/faces/frank.jpg
Grace Taylor,grace.taylor@university.edu,https://example.com/faces/grace.jpg
Henry Anderson,henry.anderson@university.edu,https://example.com/faces/henry.jpg
Ivy Thomas,ivy.thomas@university.edu,https://example.com/faces/ivy.jpg
Jack Robinson,jack.robinson@university.edu,https://example.com/faces/jack.jpg
